iter	Passed	Remaining
0	54	13446
1	54	6748
2	54	4516
3	55	3399
4	55	2729
5	56	2279
6	56	1961
7	57	1725
8	57	1537
9	57	1387
10	58	1264
11	58	1162
12	58	1075
13	59	1001
14	59	936
15	60	879
16	60	829
17	60	785
18	61	746
19	61	710
20	62	679
21	62	649
22	63	621
23	63	597
24	63	574
25	64	553
26	64	533
27	64	514
28	65	497
29	65	481
30	66	466
31	66	452
32	66	438
33	67	425
34	67	414
35	67	402
36	68	392
37	68	381
38	68	372
39	69	362
40	69	354
41	69	346
42	70	338
43	70	330
44	71	323
45	71	316
46	71	310
47	72	303
48	72	297
49	72	291
50	73	285
51	73	280
52	74	275
53	74	270
54	74	264
55	75	260
56	75	255
57	75	251
58	76	246
59	76	242
60	76	238
61	77	234
62	77	230
63	78	226
64	78	223
65	78	219
66	79	216
67	79	212
68	79	209
69	80	205
70	80	202
71	80	199
72	81	196
73	81	193
74	81	191
75	82	188
76	82	185
77	82	182
78	83	180
79	83	177
80	84	175
81	84	173
82	85	172
83	85	169
84	86	167
85	86	165
86	87	163
87	87	161
88	87	159
89	88	157
90	88	155
91	89	153
92	89	151
93	89	148
94	90	147
95	90	145
96	90	143
97	91	141
98	91	139
99	92	138
100	92	136
101	92	134
102	93	133
103	93	131
104	94	129
105	94	128
106	94	126
107	95	125
108	95	123
109	95	122
110	96	120
111	96	119
112	97	118
113	98	117
114	98	115
115	98	114
116	99	112
117	99	111
118	100	110
119	100	108
120	100	107
121	101	106
122	101	104
123	101	103
124	102	102
125	102	100
126	103	99
127	103	98
128	103	97
129	104	96
130	105	95
131	105	94
132	105	93
133	106	91
134	106	90
135	107	89
136	107	88
137	107	87
138	108	86
139	108	85
140	108	84
141	109	83
142	109	81
143	109	80
144	110	79
145	110	78
146	111	77
147	111	76
148	111	75
149	112	74
150	112	73
151	112	72
152	113	72
153	114	71
154	114	70
155	114	69
156	115	68
157	115	67
158	116	66
159	116	65
160	116	64
161	117	63
162	117	62
163	117	61
164	118	60
165	118	60
166	119	59
167	119	58
168	119	57
169	120	56
170	120	55
171	120	54
172	121	53
173	121	53
174	121	52
175	122	51
176	122	50
177	122	49
178	123	48
179	123	48
180	124	47
181	124	46
182	124	45
183	125	44
184	125	44
185	125	43
186	126	42
187	126	41
188	127	40
189	127	40
190	127	39
191	128	38
192	128	38
193	129	37
194	129	36
195	130	35
196	130	35
197	130	34
198	131	33
199	131	32
200	131	32
201	132	31
202	132	30
203	133	30
204	133	29
205	134	28
206	134	27
207	134	27
208	135	26
209	135	25
210	135	25
211	136	24
212	136	23
213	137	23
214	137	22
215	137	21
216	138	21
217	138	20
218	138	19
219	139	18
220	139	18
221	140	17
222	140	17
223	140	16
224	141	15
225	141	15
226	142	14
227	142	13
228	143	13
229	143	12
230	144	11
231	144	11
232	144	10
233	145	9
234	145	9
235	146	8
236	146	8
237	146	7
238	147	6
239	147	6
240	147	5
241	148	4
242	148	4
243	149	3
244	149	3
245	149	2
246	150	1
247	150	1
248	150	0
249	151	0
